date,fii_buy,fii_sell,fii_net,dii_buy,dii_sell,dii_net,nifty_close,nifty_return,nifty_next_return,fii_dii_net,fii_net_3d_sum,fii_net_5d_sum,fii_net_10d_sum,dii_net_5d_sum,fii_consecutive_buy
2020-01-01,195.09,235.35,-40.26,264.93,282.9,-17.97,12182.5,,0.8183886337984836,-58.23,,,,,0
2020-01-02,178.11,252.32,-74.21,310.2,237.63,72.57,12282.2001953125,0.8183886337984836,-0.4522789386603554,-1.6400000000000006,,,,,0
2020-01-03,199.12,231.32,-32.2,343.9,203.93,139.97,12226.650390625,-0.4522789386603554,-1.9105853072941215,107.77,-146.67,,,,0
2020-01-06,222.51,207.92,14.59,279.0,268.82,10.18,11993.0498046875,-1.9105853072941215,0.4994592001242859,24.77,-91.82,,,,1
2020-01-07,175.55,254.88,-79.33,357.52,190.31,167.21,12052.9501953125,0.4994592001242859,-0.22899444111396106,87.88000000000001,-96.93999999999998,-211.40999999999997,,371.96000000000004,0
2020-01-08,175.55,254.88,-79.33,307.31,240.52,66.79,12025.349609375,-0.22899444111396106,1.5845758122611686,-12.539999999999992,-144.07,-250.48,,456.72,0
2020-01-09,224.02,206.42,17.6,323.19,224.63,98.56,12215.900390625,1.5845758122611686,0.33480474426501594,116.16,-141.05999999999997,-158.67,,482.71,1
2020-01-10,202.32,228.11,-25.79,307.25,240.57,66.68,12256.7998046875,0.33480474426501594,0.5935480807329307,40.89000000000001,-87.51999999999998,-152.26,,409.42,0
2020-01-13,169.26,261.17,-91.91,433.45,114.38,319.07,12329.5498046875,0.5935480807329307,0.2656220260982112,227.16,-100.09999999999998,-258.76,,718.31,0
2020-01-14,196.31,234.12,-37.81,337.5,210.32,127.18,12362.2998046875,0.2656220260982112,-0.15369308543056182,89.37,-155.51,-217.24,-428.65,678.28,0
2020-01-15,169.42,261.01,-91.59,283.8,264.02,19.78,12343.2998046875,-0.15369308543056182,0.09884063018437139,-71.81,-221.30999999999997,-229.5,-479.98,631.27,0
2020-01-16,169.36,261.07,-91.71,380.49,167.33,213.16,12355.5,0.09884063018437139,-0.0254978804985595,121.45,-221.10999999999996,-338.80999999999995,-497.47999999999996,745.8699999999999,0
2020-01-17,188.28,242.16,-53.88,275.41,272.41,3.0,12352.349609375,-0.0254978804985595,-1.0346193941151438,-50.88,-237.17999999999998,-366.90000000000003,-519.16,682.19,0
2020-01-20,130.67,299.76,-169.09,348.94,198.89,150.05,12224.5498046875,-1.0346193941151438,-0.4474618385662321,-19.039999999999992,-314.67999999999995,-444.08,-702.84,513.1700000000001,0
2020-01-21,135.71,294.73,-159.02,237.42,310.41,-72.99,12169.849609375,-0.4474618385662321,-0.5172555189302153,-232.01,-381.99,-565.29,-782.53,313.0,0
2020-01-22,166.78,263.65,-96.87,269.89,277.93,-8.04,12106.900390625,-0.5172555189302153,0.606672363529781,-104.91,-424.98,-570.5699999999999,-800.07,285.18000000000006,0
2020-01-23,154.74,275.69,-120.95,348.32,199.51,148.81,12180.349609375,0.606672363529781,0.5574584704263197,27.86,-376.84000000000003,-599.81,-938.62,220.83,0
2020-01-24,190.21,240.23,-50.02,376.17,171.65,204.52,12248.25,0.5574584704263197,-1.0552527912150667,154.5,-267.84000000000003,-595.95,-962.85,422.35,0
2020-01-27,157.54,272.89,-115.35,347.01,200.82,146.19,12119.0,-1.0552527912150667,-0.5214967844912932,30.840000000000003,-286.32,-542.2099999999999,-986.29,418.49,0
2020-01-28,144.06,286.37,-142.31,332.25,215.58,116.67,12055.7998046875,-0.5214967844912932,0.6113256399948197,-25.64,-307.68,-525.5,-1090.79,608.15,0
2020-01-29,220.98,209.45,11.53,322.71,225.11,97.6,12129.5,0.6113256399948197,-0.7724984155365044,109.13,-246.12999999999997,-417.09999999999997,-987.6700000000001,713.79,1
2020-01-30,175.78,254.66,-78.88,262.16,285.66,-23.5,12035.7998046875,-0.7724984155365044,-0.6123414854723341,-102.38,-209.66,-375.03,-974.84,541.48,0
2020-01-31,183.61,246.82,-63.21,301.18,246.65,54.53,11962.099609375,-0.6123414854723341,-2.1250384719316173,-8.68,-130.56,-388.2199999999999,-984.17,391.49,0
2020-02-03,242.06,387.94,-145.87,555.52,404.48,151.04,11707.900390625,-2.1250384719316173,2.321082268667074,5.1699999999999875,-287.96000000000004,-418.74,-960.95,396.34,0
2020-02-04,306.77,323.23,-16.45,624.47,335.53,288.94,11979.650390625,2.321082268667074,0.9140500467834434,272.49,-225.53,-292.88,-818.38,568.6099999999999,0
2020-02-05,276.36,353.64,-77.29,583.32,376.68,206.64,12089.150390625,0.9140500467834434,0.40366612301674376,129.34999999999997,-239.61,-381.69999999999993,-798.8,677.65,0
